STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST
OBJ,YES,13-9-1,FALSE,NO,PP1,PP2,OBJ > PP1,9,YES,X,FALSE,NO,13,9EDN,13.9EDN_X,1,YES,OBJ > PP1,16X
NONE,YES,13-9-2,FALSE,NO,NONE,,OBJ PP1,9,YES,Y,FALSE,NO,13,9EDN,13.9EDN_Y,2,NO,OBJ PP1,16X
PP1,NO,14-1-1,TRUE,YES,V,PP2,PP1,1,YES,X,TRUE,YES,14,1EQY,1EQY,1,YES,PP1 > V,16Y
PP1,YES,14-1-2,TRUE,NO,OBJ,PP2,PP1 > OBJ,1,YES,Y,TRUE,YES,14,1EQY,1EQY,2,YES,PP1 > OBJ,16Y
PP1,NO,14-10-1,TRUE,NO,NONE,,PP1,10,YES,X,FALSE,NO,14,10EDY,10EDY,1,NO,PP1 ,16Y
PP1,NO,14-10-2,TRUE,NO,NONE,,PP1,10,YES,Y,FALSE,NO,14,10EDY,10EDY,2,NO,PP1 ,16Y
OBJ,YES,14-11-1,FALSE,NO,PP1,PP1,OBJ > PP1,11,YES,X,TRUE,YES,14,11EQN,11EQN,1,YES,OBJ > PP1,16Y
OBJ,YES,14-11-2,FALSE,NO,NONE,,OBJ,11,NO,Y,TRUE,YES,14,11EQN,11EQN,2,NO,OBJ ,16Y
PP1,NO,14-12-1,TRUE,NO,NONE,PP2,PP1,12,YES,X,TRUE,YES,14,12EQY,12EQY,1,YES,PP1 ,16Y
PP1,NO,14-12-2,TRUE,NO,NONE,V,PP1,12,YES,Y,TRUE,NO,14,12EQY,12EQY,2,YES,PP1 ,16Y
OBJ,YES,14-13-1,FALSE,NO,NONE,,OBJ,13,NO,X,TRUE,YES,14,13EQN,13EQN,1,NO,OBJ ,16Y
OBJ,YES,14-13-2,FALSE,NO,NONE,,OBJ,13,NO,Y,TRUE,YES,14,13EQN,13EQN,2,NO,OBJ ,16Y
OBJ,YES,14-14-1,FALSE,NO,NONE,,OBJ,14,NO,X,FALSE,NO,14,14EDN,14EDN,1,NO,OBJ ,16Y
PP1,YES,14-14-2,FALSE,NO,OBJ,,PP1 > OBJ,14,YES,Y,FALSE,NO,14,14EDN,14EDN,2,NO,PP1 > OBJ,16Y
PP1,YES,14-15-1,TRUE,NO,OBJ,,PP1 > OBJ,15,YES,X,TRUE,YES,14,15EQY,15EQY,1,NO,PP1 > OBJ,16Y
PP1,YES,14-15-2,TRUE,NO,OBJ,,PP1 > OBJ,15,YES,Y,TRUE,YES,14,15EQY,15EQY,2,NO,PP1 > OBJ,16Y
