UID,SID,IID,Reading,Condition_GP,Condition_Q,REC_CLEAN,REC,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI
15-14-1,15,14,1,FALSE,TRUE,14EQN,15.14EQN_X,X,1X,NO,YES,NO,OBJ,NONE,NO,,YES
15-14-2,15,14,2,FALSE,TRUE,14EQN,15.14EQN_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
15-15-1,15,15,1,TRUE,FALSE,15EDY,15.15EDY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
15-15-2,15,15,2,TRUE,FALSE,15EDY,15.15EDY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
15-16-1,15,16,1,FALSE,TRUE,16EQN,15.16EQN_X,X,1X,NO,YES,NO,OBJ,NONE,NO,,YES
15-16-2,15,16,2,FALSE,TRUE,16EQN,15.16EQN_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES
15-2-1,15,2,1,TRUE,TRUE,2EQY,15.2EQY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES
15-2-2,15,2,2,TRUE,TRUE,2EQY,15.2EQY_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
15-3-1,15,3,1,TRUE,TRUE,3EQY,15.3EQY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES
15-3-2,15,3,2,TRUE,TRUE,3EQY,15.3EQY_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
15-4-1,15,4,1,FALSE,TRUE,4EQN,15.4EQN_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES
15-4-2,15,4,2,FALSE,TRUE,4EQN,15.4EQN_Y,Y,1X,YES,YES,YES,PP1,V,NO,,YES
15-5-1,15,5,1,TRUE,TRUE,5EQY,15.5EQY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES
15-5-2,15,5,2,TRUE,TRUE,5EQY,15.5EQY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,YES
